name,prepTime,Bestseller,FamilyFriendly,GlutenFree,LactoseFree,Vegan,Vegetarian,energy,calories,carbohydrate,protein,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,imagePath
"Harissa chicken on quinoa with green olives",False,False,False,False,False,False,False,2534,606,52.4,38.4,"Chicken","Quinoa","Green Olives","Olive Oil","Harissa",https://www.cookedandloved.com/wp-content/uploads/2020/05/chicken-harissa-honey-salad-quinoa-3-600x400.jpg
"Balsamic lentil salad with chicken breast",False,False,False,True,False,False,False,2273,543,26.1,41.6,"Lentils","Chicken Breast","Balsamic Vinegar","Olive Oil","Garlic", https://www.bitesofberi.com/wp-content/uploads/2021/01/balsamic-lentil-salad-1-1-768x1024.jpg
"Perlencouscous-salat with red beet and parsnip chips",False,True,False,False,False,True,True,3663,875,83.4,18,"Couscous","Red Beet","Parsnip","Cherry Tomatoes","Feta Cheese", https://www.thespicedchickpea.com/media/1713/img_9007.jpg
"Grilled Salmon with Lemon and Dill",False,False,False,False,False,False,False,1820,434,0,45.2,"Salmon","Lemon","Dill","Olive Oil","Garlic", https://www.thespruceeats.com/thmb/EpiRATC9GUlJ9qf-CeNw3bIVLpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/grilled-salmon-dill-18-gt-56a8ba8f5f9b58b7d0f4a3f5.jpg
"Mango and Avocado Quinoa Salad",False,False,True,False,False,True,True,1789,427,60.5,11.3,"Quinoa","Mango","Avocado","Red Onion","Cilantro", https://www.cookingclassy.com/wp-content/uploads/2017/05/mango-black-bean-quinoa-salad-2.jpg
"Spicy Chickpea and Spinach Stew",False,False,False,False,False,True,True,2145,512,87.2,19.8,"Chickpeas","Spinach","Tomatoes","Onion","Garlic", https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2016/04/Spanish-chickpea-and-spinach-stew-in-a-pan-1000x1500.jpg
"Chicken and Broccoli Stir-Fry",False,False,True,False,False,False,False,1976,472,13.5,61.8,"Chicken","Broccoli","Soy Sauce","Ginger","Sesame Oil", https://www.dinneratthezoo.com/wp-content/uploads/2016/04/chicken-and-broccoli-stir-fry-6-2.jpg
"Eggplant Parmesan with Whole Wheat Pasta",False,False,False,False,False,False,True,2468,589,71.2,27.5,"Eggplant","Whole Wheat Pasta","Tomato Sauce","Mozzarella Cheese","Parmesan Cheese", https://cooknourishbliss.com/wp-content/uploads/2016/07/Eggplant_parmesan_pasta_skillet3.jpg
"Quinoa and Black Bean Bowl",False,False,False,True,False,False,True,1890,451,75.8,16.7,"Quinoa","Black Beans","Corn","Avocado","Salsa", https://www.bowlofdelicious.com/wp-content/uploads/2014/09/Quinoa-and-Black-Beans-square.jpg
"Thai Basil Tofu Stir-Fry",False,True,False,False,False,True,True,1632,390,42.3,26.5,"Tofu","Bell Peppers","Thai Basil","Soy Sauce","Garlic", https://drivemehungry.com/wp-content/uploads/2019/11/thai-basil-tofu-stir-fry-pad-krapow-gai-5.jpg
"Shrimp and Asparagus Stir-Fry",False,False,True,False,False,False,False,1687,403,9.2,52.6,"Shrimp","Asparagus","Soy Sauce","Ginger","Sesame Oil", https://whisperofyum.com/wp-content/uploads/2021/05/shrimp-and-asparagus-stir-fry.jpg
"Quinoa and Kale Patties",False,False,False,False,False,False,True,2154,514,64.7,25.9,"Quinoa","Kale","Potatoes","Onion","Garlic", https://karylskulinarykrusade.com/wp-content/uploads/2014/01/Kale-and-Quinoa-Patties-Feature-2-720x540.jpg
"Blackened Tilapia with Mango Salsa",False,False,False,False,False,False,False,1625,388,14.9,53.2,"Tilapia","Mango","Tomatoes","Red Onion","Cilantro", https://hips.hearstapps.com/hmg-prod/images/air-fryer-blackened-tilapia1-1653422146.jpg
"Greek Salad with Grilled Chicken",False,False,False,False,False,False,False,1985,474,19.8,54.6,"Chicken","Feta Cheese","Olives","Tomatoes","Cucumbers", https://www.foodiecrush.com/wp-content/uploads/2019/06/Greek-Salad-with-Grilled-Chicken-foodiecrush.com-005.jpg
"Vegetable and Chickpea Curry",False,False,False,False,False,True,True,1823,435,70.2,16.5,"Chickpeas","Cauliflower","Carrots","Peas","Coconut Milk", https://img.taste.com.au/MmjJJcfO/taste/2016/11/creamy-chickpea-and-vegetable-curry-104611-1.jpeg
"Cauliflower Fried Rice with Tofu",False,False,False,False,False,False,True,1690,403,25.8,23.1,"Cauliflower","Tofu","Carrots","Peas","Soy Sauce", https://feelgoodfoodie.net/wp-content/uploads/2017/03/Spinach-_-Feta-Stuffed-Chicken-11.jpg
"Spinach and Feta Stuffed Chicken Breast",False,False,False,False,False,False,False,2167,517,3.7,65.8,"Chicken Breast","Spinach","Feta Cheese","Sun-dried Tomatoes","Garlic", https://feelgoodfoodie.net/wp-content/uploads/2017/03/Spinach-_-Feta-Stuffed-Chicken-11.jpg
"Quinoa and Roasted Vegetable Bowl",False,False,False,False,False,False,True,1978,472,76.5,19.2,"Quinoa","Zucchini","Bell Peppers","Cherry Tomatoes","Olive Oil", https://www.twopeasandtheirpod.com/wp-content/uploads/2017/12/Roasted-Vegetable-Quinoa-Bowls-3.jpg
"Lemon Garlic Shrimp Pasta",False,False,True,False,False,False,False,2298,549,51.3,32.7,"Shrimp","Pasta","Lemon","Garlic","Parsley",https://therecipecritic.com/wp-content/uploads/2023/03/lemon-garlic-parmesan-shrimp-pasta-1-2.jpg
"Sweet Potato and Black Bean Chili",False,False,False,False,False,False,True,1856,443,79.8,20.4,"Sweet Potato","Black Beans","Tomatoes","Chili Powder","Cumin",https://www.eatingwell.com/thmb/E6ZptvPmFL7LRCr7kQpaDTKwLVU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(899x819:901x821)/sweet-potato-and-black-bean-chili-02a419499e384f91aefadc05e5f5b8ac.jpg
"Mushroom and Spinach Stuffed Peppers",False,True,False,False,False,False,True,1982,473,38.7,22.6,"Peppers","Mushrooms","Spinach","Onion","Garlic", https://hungryfoodie.com/wp-content/uploads/2022/02/Cheesy-Spinach-Stuffed-Peppers-21.jpg
"Sesame Ginger Tofu Stir-Fry",False,False,False,False,False,True,True,1765,421,33.2,27.8,"Tofu","Broccoli","Soy Sauce","Ginger","Sesame Oil", https://littlespicejar.com/wp-content/uploads/2015/08/Sesame-Ginger-Tofu-Stir-Fry-1.jpeg
"Crispy Baked Cod with Herbed Quinoa",False,False,True,False,False,False,False,2037,486,43.9,46.1,"Cod","Quinoa","Parsley","Lemon","Olive Oil", https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7RYBSHFVZUI6ZA2YECVBMNK7WQ.jpg&w=1440
"Caprese Salad with Balsamic Glaze",False,False,False,False,False,False,True,1425,340,13.2,17.8,"Tomatoes","Mozzarella Cheese","Basil","Balsamic Glaze","Olive Oil", https://www.onceuponachef.com/images/2019/07/Caprese_Salad.jpg
"Pesto Zucchini Noodles with Cherry Tomatoes",False,False,True,False,False,False,True,1653,394,18.6,15.7,"Zucchini","Basil","Pine Nuts","Cherry Tomatoes","Parmesan Cheese",https://www.theendlessmeal.com/wp-content/uploads/2015/10/pesto-zucchini-noodles-2.jpg
"Chickpea and Sweet Potato Curry",False,False,False,False,False,True,True,1980,472,87.1,17.3,"Chickpeas","Sweet Potato","Coconut Milk","Tomato Paste","Garlic",https://www.kitchensanctuary.com/wp-content/uploads/2020/05/Chickpea-and-sweet-potato-curry-square-FS-39.jpg
"Grilled Teriyaki Chicken Skewers",False,False,True,False,False,False,False,1725,411,8.2,56.4,"Chicken","Soy Sauce","Teriyaki Sauce","Pineapple","Green Onions", https://theflavoursofkitchen.com/wp-content/uploads/2018/04/Teriyaki-Chicken-Skewers-7.jpg
"Quinoa and Black Bean Stuffed Bell Peppers",False,False,False,False,False,False,True,2276,543,84.7,26.5,"Quinoa","Black Beans","Bell Peppers","Corn","Salsa",https://www.yayforfood.com/wp-content/uploads/quinoa-and-black-bean-stuffed-bell-peppers-featured-720x405.jpg
"Lemon Herb Roasted Chicken Thighs",False,False,False,False,False,False,False,2150,513,1.2,52.8,"Chicken Thighs","Lemon","Rosemary","Thyme","Garlic",https://minimalistbaker.com/wp-content/uploads/2022/09/EASY-Lemon-Herb-Roasted-Chicken-Thighs-30-minutes-SO-satisfying-and-elegant-minimalistbaker-recipe-roasted-chicken-thighs-11.jpg
"Cucumber Avocado Salad with Feta",False,False,False,False,False,False,True,1489,355,13.7,9.2,"Cucumber","Avocado","Feta Cheese","Dill","Red Onion",https://healthyfitnessmeals.com/wp-content/uploads/2021/11/Cucumber-avocado-feta-salad-6.jpg
"Black Bean and Corn Quesadillas",False,False,True,False,False,False,True,1598,381,58.9,16.5,"Black Beans","Corn","Tortillas","Cheddar Cheese","Salsa",https://tastesbetterfromscratch.com/wp-content/uploads/2020/05/Black-Bean-Quesadilla-13-500x500.jpg
"Salmon and Avocado Sushi Bowl",False,False,False,False,False,False,False,2155,514,44.7,39.2,"Salmon","Avocado","Seaweed","Sushi Rice","Soy Sauce",https://myfoodbook.com.au/sites/default/files/styles/schema_img/public/recipe_photo/salmon-avocado-poke-bowl_9164.jpg
"Chickpea and Quinoa Salad with Lemon Vinaigrette",False,False,True,False,False,False,True,1836,438,72.4,15.8,"Chickpeas","Quinoa","Cucumber","Tomatoes","Red Onion",https://elavegan.com/wp-content/uploads/2022/02/pouring-lemon-vinaigrette-over-quinoa-salad.jpg
"Cajun Shrimp and Vegetable Skewers",False,False,False,False,False,False,False,1965,469,14.7,64.3,"Shrimp","Bell Peppers","Zucchini","Cherry Tomatoes","Cajun Seasoning", https://therecipecritic.com/wp-content/uploads/2018/04/cajunshrimpandsausageskewers-1-of-1-667x1000.jpg
"Vegetable and Lentil Soup",False,False,False,False,False,False,True,1532,366,64.8,18.9,"Lentils","Carrots","Celery","Tomatoes","Spinach", https://img.taste.com.au/tBjdtcfq/taste/2016/11/brown-lentil-and-vegetable-soup-1293-1.jpeg
"Garlic Butter Baked Cod with Asparagus",False,False,True,False,False,False,False,1847,441,10.2,55.7,"Cod","Asparagus","Garlic","Butter","Parsley", https://www.eatwell101.com/wp-content/uploads/2020/01/best-cod-recipe.jpg
"Quinoa and Chickpea Stuffed Acorn Squash",False,True,False,False,False,False,True,2062,491,90.2,18.4,"Quinoa","Chickpeas","Acorn Squash","Spinach","Feta Cheese", https://simple-veganista.com/wp-content/uploads/2019/11/stuffed-acorn-squash-recipe-with-quinoa.jpg
"Turmeric Chicken with Roasted Vegetables",False,False,False,False,False,False,False,2280,544,38.6,49.2,"Chicken","Turmeric","Carrots","Broccoli","Cauliflower", https://feedthemwisely.com/wp-content/uploads/2018/01/whole30-turmeric-chicken-vegetable-sheet-pan.jpeg.webp
"Mediterranean Chickpea Salad",False,False,False,False,False,False,True,1573,375,58.1,17.9,"Chickpeas","Cucumbers","Tomatoes","Red Onion","Feta Cheese",https://joyfoodsunshine.com/wp-content/uploads/2022/07/mediterranean-chickpea-salad-recipe-1x1-1.jpg
"Beef and Broccoli Stir-Fry",False,False,False,False,False,False,False,1998,477,20.3,54.6,"Beef","Broccoli","Soy Sauce","Ginger","Sesame Oil", https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Beef-and-broccoli-stir-fry-7.jpg
"Quinoa and Roasted Brussels Sprouts Bowl",False,False,False,False,False,False,True,1795,428,71.2,15.7,"Quinoa","Brussels Sprouts","Chickpeas","Pomegranate Seeds","Balsamic Glaze", https://simple-veganista.com/wp-content/uploads/2019/11/stuffed-acorn-squash-recipe-with-quinoa.jpg
"Sweet and Spicy Grilled Chicken Wings",False,False,False,False,False,False,False,2165,516,13.2,56.9,"Chicken Wings","Honey","Soy Sauce","Garlic","Sriracha" , https://www.seriouseats.com/thmb/Q6d0HAEMYVpED_3YRzESKVJwCb4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__recipes__images__20100121-super-smokers-wings-4c4139bbd9c342749a03f4b33f2f3cc3.jpg
"Cauliflower and Chickpea Tacos",False,True,False,False,False,True,True,1634,390,63.8,16.2,"Cauliflower","Chickpeas","Tortillas","Cabbage","Salsa", https://www.wellplated.com/wp-content/uploads/2016/08/Cauliflower-Tacos-recipe-500x500.jpg
"Orange Glazed Salmon with Wild Rice",False,False,True,False,False,False,False,1950,464,44.3,35.8,"Salmon","Orange Glaze","Wild Rice","Asparagus","Lemon", https://i0.wp.com/baconandvodka.com/wp-content/uploads/2020/06/20200627_193026-2-scaled.jpg?fit=2560%2C1439&ssl=1
"Caprese Quinoa Stuffed Peppers",False,False,False,False,False,False,True,2236,533,61.2,23.4,"Quinoa","Peppers","Mozzarella Cheese","Tomatoes","Basil", https://www.destinationdelish.com/wp-content/uploads/2016/07/Quinoa-Caprese-Stuffed-Peppers-top-1.jpg
"Chicken and Vegetable Skillet with Quinoa",False,False,False,False,False,False,False,2075,494,36.7,47.5,"Chicken","Quinoa","Broccoli","Carrots","Bell Peppers", https://ifoodreal.com/wp-content/uploads/2023/08/fg-chicken-quinoa-skillet.jpg
"Spaghetti Squash with Tomato and Basil Sauce",False,False,False,False,False,False,True,1437,343,22.5,5.9,"Spaghetti Squash","Tomato Sauce","Basil","Garlic","O", https://www.eatingwell.com/thmb/wmM7ORn4XJL6LXCGo35x7xl_EmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5771128-aa73015d983646dbbfeee994779f6513.jpg
"Pasta Alfredo with Chicken",False,False,False,False,True,False,False,2500,800,50,45,"Pasta", "Chicken", "Alfredo Sauce", "Parmesan Cheese", "Salt", https://thecozycook.com/wp-content/uploads/2022/08/Chicken-Alfredo-Pasta-1-1.jpg

